20180339|1000035|1544508976|1547100976
20170332|1000021|1544508998|1547100998
20180318|1000013|1544509014|1547101014
20180278|1000076|1544509032|1547101032
20180304|1000072|1544509072|1547101072
20180318|1000099|1544509085|1547101085
20180278|1000094|1544509099|1547101099
20180340|1000030|1544509154|1547101154
20180302|1000009|1544509174|1547101174
20180303|1000097|1544509213|1547101213
20180247|1000041|1544509232|1547101232
20180341|1000028|1544509252|1547101252
20180306|1000062|1544509296|1547101296
20170332|1000087|1544509314|1547101314
20180278|1000012|1544509376|1547101376
20180264|1000045|1544509394|1547101394
20180224|1000017|1544509421|1547101421
20180212|1000061|1544509499|1547101499
20170332|1000042|1544509584|1547101584
20170347|1000092|1544509600|1547101600
20170333|1000036|1544509617|1547101617
20180249|1000031|1544509639|1547101639
20170332|1000040|1544510763|1547102763
20170332|1000070|1544510776|1547102776
20170332|1000002|1544510809|1547102809
20170332|1000098|1544510852|1547102852
20170332|1000027|1544511050|1547103050
